spot,strike,time_to_maturity,risk_free_rate,option_type,market_price
100.0,80.0,0.50,0.03,call,22.1426
100.0,90.0,0.50,0.03,call,13.4985
100.0,100.0,0.50,0.03,call,6.3710
100.0,110.0,0.50,0.03,call,2.9582
100.0,120.0,0.50,0.03,call,1.4004
100.0,80.0,1.00,0.03,call,24.9838
100.0,90.0,1.00,0.03,call,16.4969
100.0,100.0,1.00,0.03,call,9.4134
100.0,110.0,1.00,0.03,call,6.0744
100.0,120.0,1.00,0.03,call,4.6413
100.0,80.0,0.50,0.03,put,1.2670
100.0,90.0,0.50,0.03,put,2.1587
100.0,100.0,0.50,0.03,put,4.8810
100.0,110.0,0.50,0.03,put,11.3200
100.0,120.0,0.50,0.03,put,20.6138
