spot,strike,time_to_maturity,risk_free_rate,option_type,market_price,implied_volatility,iv_converged,iv_iterations,iv_method,iv_pricing_error,moneyness,log_moneyness
100.0,80.0,0.5,0.03,call,22.1426,0.2778682486533194,True,29,bisection,2.661190023900417e-08,0.8,-0.2231435513142097
100.0,90.0,0.5,0.03,call,13.4985,0.23587718627497167,True,29,bisection,-1.3153957922895643e-08,0.9,-0.10536051565782628
100.0,100.0,0.5,0.03,call,6.371,0.19999898998804738,True,29,bisection,-1.0801710281782562e-07,1.0,0.0
100.0,110.0,0.5,0.03,call,2.9582,0.21374968837797115,True,29,bisection,-1.310808479537684e-07,1.1,0.09531017980432493
100.0,120.0,0.5,0.03,call,1.4004,0.2305106448404495,True,29,bisection,1.3096435158566067e-07,1.2,0.1823215567939546
100.0,80.0,1.0,0.03,call,24.9838,0.2874845826253759,True,29,bisection,-4.108015261294895e-08,0.8,-0.2231435513142097
100.0,90.0,1.0,0.03,call,16.4969,0.23500095143239721,True,28,bisection,-4.192433067373713e-09,0.9,-0.10536051565782628
100.0,100.0,1.0,0.03,call,9.4134,0.1999999213106201,True,29,bisection,3.4118558644991026e-07,1.0,0.0
100.0,110.0,1.0,0.03,call,6.0744,0.21999886284114267,True,29,bisection,-1.9241630422328626e-07,1.1,0.09531017980432493
100.0,120.0,1.0,0.03,call,4.6413,0.25499943661485913,True,29,bisection,3.2137273286991785e-08,1.2,0.1823215567939546
100.0,80.0,0.5,0.03,put,1.267,0.30270602562219084,True,29,bisection,1.1882622441561352e-08,0.8,-0.2231435513142097
100.0,90.0,0.5,0.03,put,2.1587,0.2358833330039518,True,29,bisection,-4.318418378446154e-08,0.9,-0.10536051565782628
100.0,100.0,0.5,0.03,put,4.881,0.19995600013808906,True,29,bisection,-6.664732410399665e-08,1.0,0.0
100.0,110.0,0.5,0.03,put,11.32,0.21372949730459387,True,29,bisection,-1.5616925708172857e-07,1.1,0.09531017980432493
100.0,120.0,0.5,0.03,put,20.6138,0.280895531302504,True,29,bisection,1.5567188071941018e-07,1.2,0.1823215567939546
