spot,strike,time_to_maturity,risk_free_rate,option_type,market_price,true_volatility,implied_volatility,iv_converged,iv_iterations,iv_method,iv_pricing_error,moneyness,log_moneyness
100.0,70.0,0.08,0.03,call,30.167798700497997,0.24659973830033427,0.24658204075683593,True,11,bisection,-2.928572939708829e-10,0.7,-0.35667494393873245
100.0,80.0,0.08,0.03,call,20.19192091547785,0.21642649088352064,0.21642685893238067,True,18,bisection,4.18160084336705e-09,0.8,-0.2231435513142097
100.0,90.0,0.08,0.03,call,10.267071348512417,0.1957319157146316,0.19573192141678855,True,28,bisection,9.166257086690166e-09,0.9,-0.10536051565782628
100.0,95.0,0.08,0.03,call,5.6515639339676795,0.18809055413279027,0.18809055940573743,True,29,bisection,3.479389931726473e-08,0.95,-0.05129329438755058
100.0,100.0,0.08,0.03,call,2.1721696521303,0.1819220913403341,0.18192209335672066,True,29,bisection,2.269298704504763e-08,1.0,0.0
100.0,105.0,0.08,0.03,call,0.4900912316678827,0.1770312693056326,0.17703127149236061,True,29,bisection,1.643615021862388e-08,1.05,0.04879016416943204
100.0,110.0,0.08,0.03,call,0.05732887329763514,0.17325477763672492,0.17325477708629936,True,29,bisection,-1.0779785952763632e-09,1.1,0.09531017980432493
100.0,120.0,0.08,0.03,call,9.874232010924702e-05,0.16851495010735335,0.16851426137195585,True,18,bisection,-6.84229801810321e-09,1.2,0.1823215567939546
100.0,130.0,0.08,0.03,call,1.6561650307655906e-08,0.1668290237028236,0.16601563466796876,True,9,bisection,-2.4902135565120246e-09,1.3,0.26236426446749106
100.0,70.0,0.25,0.03,call,30.52846549626298,0.250207627383215,0.2502076422796598,True,25,bisection,3.5724667668546317e-09,0.7,-0.35667494393873245
100.0,80.0,0.25,0.03,call,20.661717635429582,0.22003437996640138,0.22003438348406745,True,29,bisection,6.9346697273431346e-09,0.8,-0.2231435513142097
100.0,90.0,0.25,0.03,call,11.278108640403403,0.19933980479751237,0.19933979987105285,True,29,bisection,-4.8858709078558604e-08,0.9,-0.10536051565782628
100.0,95.0,0.25,0.03,call,7.244849340261425,0.19169844321567103,0.19169844717322757,True,29,bisection,6.343654490592598e-08,0.95,-0.05129329438755058
100.0,100.0,0.25,0.03,call,4.071267921231453,0.18552998042321486,0.18552998112421082,True,29,bisection,1.3870121051695605e-08,1.0,0.0
100.0,105.0,0.25,0.03,call,1.947651477206115,0.18063915838851335,0.18063915925985072,True,29,bisection,1.5966413968726556e-08,1.05,0.04879016416943204
100.0,110.0,0.25,0.03,call,0.7797081151321272,0.17686266671960568,0.17686266485378946,True,29,bisection,-2.3729292308871663e-08,1.1,0.09531017980432493
100.0,120.0,0.25,0.03,call,0.07323713593371117,0.1721228391902341,0.17212283831814984,True,27,bisection,-2.409672017478215e-09,1.2,0.1823215567939546
100.0,130.0,0.25,0.03,call,0.0038194354227741034,0.17043691278570436,0.1704368836911468,True,26,bisection,-7.523004968978952e-09,1.3,0.26236426446749106
100.0,70.0,0.5,0.03,call,31.148184142023155,0.25451438046718433,0.2545143851925179,True,29,bisection,1.306771935105644e-08,0.7,-0.35667494393873245
100.0,80.0,0.5,0.03,call,21.60167603749146,0.2243411330503707,0.22434113571015124,True,29,bisection,2.151713829334767e-08,0.8,-0.2231435513142097
100.0,90.0,0.5,0.03,call,12.866992208667341,0.20364655788148167,0.20364655209713675,True,29,bisection,-1.080645404272218e-07,0.9,-0.10536051565782628
100.0,95.0,0.5,0.03,call,9.15387318018145,0.19600519629964033,0.19600519939931138,True,29,bisection,7.526476508701307e-08,0.95,-0.05129329438755058
100.0,100.0,0.5,0.03,call,6.088822109470364,0.18983673350718416,0.18983673335029466,True,29,bisection,-4.355534599653765e-09,1.0,0.0
100.0,105.0,0.5,0.03,call,3.7604928692857413,0.18494591147248265,0.1849459114859346,True,29,bisection,3.724807129401597e-10,1.05,0.04879016416943204
100.0,110.0,0.5,0.03,call,2.150130291892939,0.18116941980357498,0.18116941707987327,True,29,bisection,-6.557861809142196e-08,1.1,0.09531017980432493
100.0,120.0,0.5,0.03,call,0.5646113866847333,0.1764295922742034,0.17642959985745937,True,29,bisection,9.443383675034056e-08,1.2,0.1823215567939546
100.0,130.0,0.5,0.03,call,0.11793356967405177,0.17474366586967366,0.17474366385690782,True,29,bisection,-8.645723248434933e-09,1.3,0.26236426446749106
100.0,70.0,1.0,0.03,call,32.7166427089317,0.2604806609307141,0.26048066111099,True,29,bisection,1.9529053929545626e-09,0.7,-0.35667494393873245
100.0,80.0,1.0,0.03,call,23.75311542437396,0.23030741351390047,0.23030741162862342,True,29,bisection,-3.598250941649894e-08,0.8,-0.2231435513142097
100.0,90.0,1.0,0.03,call,15.715772342952931,0.20961283834501143,0.20961284664206029,True,29,bisection,2.4974822565582144e-07,0.9,-0.10536051565782628
100.0,95.0,1.0,0.03,call,12.248937794553775,0.2019714767631701,0.2019714753177835,True,29,bisection,-5.079817810837994e-08,0.95,-0.05129329438755058
100.0,100.0,1.0,0.03,call,9.25114153819915,0.19580301397071392,0.19580300926876676,True,29,bisection,-1.817584305285891e-07,1.0,0.0
100.0,105.0,1.0,0.03,call,6.765515259862028,0.19091219193601242,0.19091218740440669,True,29,bisection,-1.8078411301303277e-07,1.05,0.04879016416943204
100.0,110.0,1.0,0.03,call,4.7948617068560395,0.18713570026710474,0.18713569299834537,True,29,bisection,-2.806742500638393e-07,1.1,0.09531017980432493
100.0,120.0,1.0,0.03,call,2.2175694447371015,0.18239587273773317,0.18239587577593147,True,29,bisection,9.190816641080346e-08,1.2,0.1823215567939546
100.0,130.0,1.0,0.03,call,0.9495932943346155,0.18070994633320342,0.18070993977537994,True,29,bisection,-1.280341184184408e-07,1.3,0.26236426446749106
100.0,70.0,2.0,0.03,call,36.124226145980806,0.2662942648790848,0.26629425600688506,True,29,bisection,-2.1649731962725127e-07,0.7,-0.35667494393873245
100.0,80.0,2.0,0.03,call,27.831538628003578,0.23612101746227118,0.23612102515096983,True,29,bisection,2.5918939883240455e-07,0.8,-0.2231435513142097
100.0,90.0,2.0,0.03,call,20.396545129306624,0.21542644229338218,0.21542644153795532,True,29,bisection,-3.34733698537093e-08,0.9,-0.10536051565782628
100.0,95.0,2.0,0.03,call,17.109694791142324,0.20778508071154084,0.20778508884012994,True,29,bisection,3.994269093254843e-07,0.95,-0.05129329438755058
100.0,100.0,2.0,0.03,call,14.159326766272635,0.20161661791908467,0.2016166227911132,True,29,bisection,2.582718465760081e-07,1.0,0.0
100.0,105.0,2.0,0.03,call,11.5679433895682,0.19672579588438316,0.19672580092675318,True,29,bisection,2.7994398976716184e-07,1.05,0.04879016416943204
100.0,110.0,2.0,0.03,call,9.34207278021185,0.1929493042154755,0.19294930652069187,True,29,bisection,1.3005468701976497e-07,1.1,0.09531017980432493
100.0,120.0,2.0,0.03,call,5.931779894788594,0.1882094766861039,0.18820947067182658,True,29,bisection,-3.217087751750114e-07,1.2,0.1823215567939546
100.0,130.0,2.0,0.03,call,3.6974218027180896,0.18652355028157416,0.18652355329772638,True,29,bisection,1.3907390084000326e-07,1.3,0.26236426446749106
